_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
65.9797146918,27.8225498628,20528,04 23 55.15,+27 49 21.5,10.97,65.9797729,27.82264621,19.26,-21.18,-39.64,2.09,1.21,,65.97971469,27.82254986,20510
67.5524267915,5.2988180163,21000,04 30 12.52,+05 17 54.7,9.83,67.55216585,5.29852669,84.76,106.9,119.86,4.74,0.6,,67.55242679,5.29881802,20982
68.2889252419,-36.9460484686,21223,04 33 09.35,-36 56 46.1,8.74,68.28897895,-36.94615167,39.93,-17.66,42.46,0.93,0.99,,68.28892524,-36.94604847,21205
70.7752935345,-50.2196340565,21952,04 43 06.04,-50 13 11.1,8.95,70.77515948,-50.21973631,9.72,35.29,42.07,0.78,0.584,,70.77529353,-50.21963406,21934
71.2665381135,5.8716775414,22084,04 45 03.96,+05 52 18.2,8.49,71.26649533,5.87171959,5.89,17.51,-17.3,1.3,0.308,,71.26653811,5.87167754,22066
72.3561139843,-43.353692561,22414,04 49 25.43,-43 21 13.3,9.79,72.35596089,-43.35368945,3.97,45.8,-1.28,0.97,0.384,,72.35611398,-43.35369256,22397
73.7057731432,22.146486665,22838,04 54 49.40,+22 08 47.6,8.01,73.70583754,22.14655054,8.53,-24.54,-26.28,1.01,0.402,,73.70577314,22.14648666,22820
77.3944799107,24.3253060628,24007,05 09 34.63,+24 19 32.7,10.3,77.39428498,24.32574524,10.29,73.08,-180.69,1.94,0.991,,77.39447991,24.32530606,23983
77.5468130555,-57.5866717463,24061,05 10 11.27,-57 35 12.0,9.82,77.54694011,-57.58666567,4.2,-28.02,-2.5,1.0,0.87,,77.54681306,-57.58667175,24043
78.2955353465,33.3181664803,24323,05 13 10.92,+33 19 05.8,8.56,78.2955069,33.31828689,7.54,9.78,-49.54,1.13,0.439,,78.29553535,33.31816648,24306
79.4324539169,-0.3701017704,24689,05 17 43.79,-00 22 12.3,9.04,79.43246782,-0.37009076,5.72,-5.72,-4.53,1.26,0.113,,79.43245392,-0.37010177,24672
79.5222718354,-80.9645751291,24718,05 18 05.53,-80 57 52.9,8.44,79.52304258,-80.9646908,14.06,-49.8,47.59,0.88,0.7,,79.52227184,-80.96457513,24701
79.8440012829,3.1227204151,24830,05 19 22.53,+03 07 21.9,8.69,79.84389009,3.12274562,8.18,45.68,-10.37,1.55,1.033,,79.84400128,3.12272042,24813
80.002989514,32.7855983971,24877,05 20 00.71,+32 47 08.5,7.0,80.00293918,32.78569297,17.35,17.41,-38.91,0.91,0.579,,80.00298951,32.7855984,24860
81.3491638812,-44.4308077109,25359,05 25 23.83,-44 25 50.0,9.36,81.34930704,-44.43054227,13.91,-42.06,-109.21,0.88,0.634,,81.34916388,-44.43080771,25342
82.24636675,-17.4292389192,25670,05 28 59.18,-17 25 44.6,8.27,82.24658227,-17.42905777,21.35,-84.6,-74.53,1.09,0.657,,82.24636675,-17.42923892,25652
82.558347971,-42.6973323126,25775,05 30 13.98,-42 41 49.1,9.72,82.55823834,-42.69697908,51.56,33.15,-145.33,3.73,1.343,,82.55834797,-42.69733231,25758
82.7166337091,-54.8982750583,25827,05 30 52.00,-54 53 54.1,9.07,82.71665087,-54.8983506,3.61,-4.06,31.08,0.79,0.454,,82.71663371,-54.89827506,25809
83.269163803,-26.7245160899,26013,05 33 04.59,-26 43 29.6,9.12,83.26912293,-26.72488551,29.57,15.02,151.99,1.17,1.045,,83.2691638,-26.72451609,25995
83.8659268166,21.2943432361,26250,05 35 27.82,+21 17 39.8,9.24,83.86592966,21.294397,5.3,-1.09,-22.12,1.52,0.568,,83.86592682,21.29434324,26232
87.4017251938,-54.9107108901,27515,05 49 36.40,-54 54 39.1,9.07,87.40168676,-54.91087347,7.91,9.09,66.89,0.89,0.534,,87.40172519,-54.91071089,27495
87.9525208475,15.8820693562,27695,05 51 48.61,+15 52 55.5,9.46,87.9525281,15.88209145,3.12,-2.87,-9.09,1.76,0.41,,87.95252085,15.88206936,27675
88.3693076512,37.3390534549,27844,05 53 28.67,+37 20 19.9,6.7,88.36944204,37.33884958,14.93,-43.96,83.88,1.19,0.2,,88.36930765,37.33905345,27824
88.3786593263,-16.2650069312,27849,05 53 30.90,-16 15 53.3,7.28,88.37876402,-16.2647919,18.06,-41.35,-88.47,0.84,0.543,,88.37865933,-16.26500693,27829
89.1546232029,10.5517434301,28122,05 56 37.12,+10 33 06.2,9.48,89.15466417,10.55171876,23.63,-16.57,10.15,3.2,0.722,,89.1546232,10.55174343,28101
92.1058101931,-11.1462880385,29118,06 08 25.39,-11 08 46.5,6.79,92.10577945,-11.14625666,13.02,12.41,-12.91,1.28,0.0,G,92.10581019,-11.14628804,29097
92.6639511204,30.9571440055,29301,06 10 39.33,+30 57 25.7,8.68,92.66389092,30.9571477,8.05,21.24,-1.52,1.24,0.53,,92.66395112,30.95714401,29280
93.0582013379,-14.6500197709,29442,06 12 14.01,-14 39 01.5,9.49,93.05839483,-14.65041233,13.21,-77.02,161.51,1.82,0.836,,93.05820134,-14.65001977,29421
95.6193136682,-63.6975819137,30310,06 22 28.58,-63 41 53.6,10.87,95.61907901,-63.6982194,12.19,42.78,262.28,1.42,1.15,,95.61931367,-63.69758191,30289
96.0719313102,-53.5759440184,30465,06 24 17.30,-53 34 33.9,9.16,96.07208494,-53.57607889,7.03,-37.53,55.49,0.77,0.806,,96.07193131,-53.57594402,30444
98.1429684566,-55.6485953152,31179,06 32 34.19,-55 38 54.2,7.92,98.14246961,-55.64838466,13.7,115.81,-86.67,0.58,0.778,,98.14296846,-55.64859532,31158
100.5876364361,-58.1830469865,32099,06 42 21.02,-58 10 58.9,9.25,100.58756802,-58.18301449,7.16,14.84,-13.37,20.29,0.48,G,100.58763644,-58.18304699,32075
100.8480415089,27.2522929943,32209,06 43 23.54,+27 15 08.4,10.92,100.84807429,27.25233497,-4.35,-11.99,-17.27,2.83,0.569,,100.84804151,27.25229299,32185
101.6938811474,-6.1447718806,32483,06 46 46.53,-06 08 41.2,8.34,101.69388699,-6.14476595,1.0,-2.39,-2.44,1.45,0.115,D,101.69388115,-6.14477188,32459
102.2239208318,-73.2998955816,32674,06 48 54.04,-73 18 00.8,8.04,102.2251745,-73.3002092,14.54,-148.22,129.03,0.62,0.488,,102.22392083,-73.29989558,32650
102.5042289506,-60.2491464044,32775,06 50 01.01,-60 14 57.9,6.11,102.50420544,-60.24940871,30.16,4.8,107.92,0.75,0.457,,102.50422895,-60.2491464,32751
103.5616701939,-34.222863865,33170,06 54 14.81,-34 13 22.4,7.33,103.56170732,-34.22288574,4.53,-12.63,9.0,1.03,-0.022,,103.56167019,-34.22286386,33146
103.6784387666,24.2455586116,33212,06 54 42.85,+24 14 44.9,6.84,103.67853817,24.24579282,32.23,-37.29,-96.36,1.01,0.582,,103.67843877,24.24555861,33188
103.9073829119,42.0433280292,33304,06 55 37.84,+42 02 36.8,9.43,103.90766212,42.04355079,8.98,-85.31,-91.65,1.47,0.613,,103.90738291,42.04332803,33280
104.7499137908,-47.0233455014,33609,06 58 59.99,-47 01 24.0,7.28,104.7499508,-47.0233368,7.13,-10.38,-3.58,0.58,-0.012,,104.74991379,-47.0233455,33585
104.9583437544,-49.5071571849,33681,06 59 49.91,-49 30 25.2,9.02,104.95796552,-49.50699288,10.89,101.05,-67.6,0.86,0.587,,104.95834375,-49.50715718,33657
106.3961697797,-51.3840517996,34209,07 05 35.08,-51 23 02.7,8.86,106.39618232,-51.38408731,8.5,-3.22,14.61,0.8,0.488,,106.39616978,-51.3840518,34184
106.5582257734,-47.5871847345,34269,07 06 13.86,-47 35 12.6,10.54,106.55774072,-47.58683143,21.26,134.6,-145.36,1.26,1.161,,106.55822577,-47.58718473,34243
106.5700159992,22.6834891786,34271,07 06 16.86,+22 41 01.2,8.25,106.57025077,22.68367796,22.77,-89.12,-77.67,1.03,0.702,,106.570016,22.68348918,34245
107.2860806665,-31.9335550711,34519,07 09 08.66,-31 56 00.9,7.49,107.2860947,-31.93357121,1.29,-4.9,6.64,0.67,-0.117,,107.28608067,-31.93355507,34493
